code,name,location,type,rank,rating,feesPerYear,description,courses
E001,Univesity of Visvesvaraya College of Engineering K R,Bangalore,Engineering,1,4.2,150000,Univesity of Visvesvaraya College of Engineering K R is listed in the official KEA UGCET 2025 engineering seat matrix.,Artificial Intelligence And Data Science|Civil Engineering|Computer Science And Engineering|Electrical & Electronics Engineering|Electronics And Communica Tion Engg|Information Science And Engineering|Mechanical Engineering
E002,Govt.S K S J T Institute of Engineering,BANGALORE-01,Engineering,2,4.2,150000,Govt.S K S J T Institute of Engineering is listed in the official KEA UGCET 2025 engineering seat matrix.,Civil Engineering|Computer Science And Engineering|Electronics And Communica Tion Engg|Silk Technology|Textiles Technology
E003,B M S College of Engineering,BANGALORE,Engineering,3,4.2,150000,B M S College of Engineering is listed in the official KEA UGCET 2025 engineering seat matrix.,Civil Engineering|Electrical & Electronics Engineering|Electronics And Communica Tion Engg|Industrial Engineering & Management|Mechanical Engineering|Artificial Intelligence And Data Science|Artificial Intelligence And Machine Learning|Bio- Technology|Chemical Engineering|Computer Science And Business Systems|Computer Science And Engg(inter Net Of Things & Cyber Security Including Block Chain Tech)|Computer Science And Engineering|Computer Science And Engineerin G(data Science)
E004,Dr. Ambedkar Institute of Technology,BANGALORE,Engineering,4,4.2,150000,Dr. Ambedkar Institute of Technology is listed in the official KEA UGCET 2025 engineering seat matrix.,Civil Engineering|Computer Science And Engineering|Electrical & Electronics Engineering|Electronics And Communica Tion Engg|Electronics And Instrument Ation Engineering|Electronics And Telecommu Nication Engineering|Industrial Engineering & Management|Mechanical Engineering|Aeronautic Al Engineering|Artificial Intelligence And Machine Learning|Computer Science And Business Systems|Computer Science And Engineerin G(data Science)|Electronics And Communica Tion Engg (vlsi Design And Technolog Y)|Information Science And Engineering
E005,R. V. College of Engineering,BANGALORE,Engineering,5,4.2,150000,R. V. College of Engineering is listed in the official KEA UGCET 2025 engineering seat matrix.,Aero Space Engineering|Bio- Technology|Chemical Engineering|Civil Engineering|Computer Science And Engg(artifi Cial Intelligence And Machine Learning)|Computer Science And Engineering|Computer Science And Engineering (cyber Security)|Computer Science And Engineerin G(data Science)|Electrical & Electronics Engineering|Electronics And Communica Tion Engg|Electronics And Telecommu Nication Engineering|Industrial Engineering & Management|Mechanical Engineering
E006,M S Ramaiah Institute of Technology,BANGALORE,Engineering,6,4.2,150000,M S Ramaiah Institute of Technology is listed in the official KEA UGCET 2025 engineering seat matrix.,Aero Space Engineering|Artificial Intelligence And Data Science|Artificial Intelligence And Machine Learning|Bio- Technology|Chemical Engineering|Civil Engineering|Computer Science And Engg(artifi Cial Intelligence And Machine Learning)|Computer Science And Engineering|Computer Science And Engineering (cyber Security)|Electrical & Electronics Engineering|Electronics And Communica Tion Engg|Electronics And Instrument Ation Engineering|Electronics And Telecommu Nication Engineering|Industrial Engineering & Management|Information Science And Engineering|Mechanical Engineering|Medical Electronics Engineering
E007,Dayananda Sagar College of Engineering,BANGALORE,Engineering,7,4.2,150000,Dayananda Sagar College of Engineering is listed in the official KEA UGCET 2025 engineering seat matrix.,Aeronautic Al Engineering|Artificial Intelligence And Machine Learning|Automobile Engineering|Bio- Technology|Chemical Engineering|Civil Engineering|Computer Science And Design|Computer Science And Engg(inter Net Of Things & Cyber Security Including Block Chain Tech)|Computer Science And Engineering|Computer Science And Engineering (cyber Security)|Computer Science And Engineerin G(data Science)|Electrical & Electronics Engineering|Electronics And Communica Tion Engg|Electronics And Telecommu Nication Engineering|Information Science And Engineering|Mechanical Engineering|Medical Electronics Engineering|Robotics And Artificial Intelligence
E008,Bangalore Institute of Technology,BANGALORE,Engineering,8,4.2,150000,Bangalore Institute of Technology is listed in the official KEA UGCET 2025 engineering seat matrix.,Artificial Intelligence And Machine Learning|Civil Engineering|Computer Science And Engg(inter Net Of Things & Cyber Security Including Block Chain Tech)|Computer Science And Engineering|Computer Science And Engineerin G(data Science)|Electrical & Electronics Engineering|Electronics Engineerin G(vlsi Design & Technolog Y)|Electronics And Communica Tion Engg|Electronics And Instrument Ation Engineering|Electronics And Telecommu Nication Engineering|Information Science And Engineering|Mechanical Engineering|Robotics And Artificial Intelligence
E009,PES University,Bangalore,Engineering,9,4.2,150000,PES University is listed in the official KEA UGCET 2025 engineering seat matrix.,B Tech In Bio- Technology|B Tech In Computer Science & Engineering (artifical Intelligence & Machine Learning)|B Tech In Computer Science And Engineering|B Tech In Electrical & Electronics Engineering|B Tech In Electronics & Communica Tion Engineering|B Tech In Mechanical Engineering
E011,M V J College of Engineering,BANGALORE,Engineering,10,4.2,150000,M V J College of Engineering is listed in the official KEA UGCET 2025 engineering seat matrix.,Aero Space Engineering|Aeronautic Al Engineering|Artificial Intelligence And Machine Learning|Chemical Engineering|Civil Engineering|Computer Science And Design|Computer Science And Engineering|Computer Science And Engineerin G(data Science)|Electrical & Electronics Engineering|Electronics Engineerin G(vlsi Design & Technolog Y)|Electronics And Communica Tion (advanced Communica Tion Technolog Y)|Electronics And Communica Tion Engg|Industrial Iot|Information Science And Engineering|Mechanical Engineering
E012,Sir M.Visvesvaraya Institute of Technology,BANGALORE - 562 157,Engineering,11,4.2,150000,Sir M.Visvesvaraya Institute of Technology is listed in the official KEA UGCET 2025 engineering seat matrix.,Artificial Intelligence And Machine Learning|Bio- Technology|Civil Engineering|Computer Science And Engg(inter Net Of Things & Cyber Security Including Block Chain Tech)|Computer Science And Engineering|Computer Science And Engineerin G(data Science)|Electrical & Electronics Engineering|Electronics & Computer Engineering|Electronics And Communica Tion Engg|Electronics And Telecommu Nication Engineering|Information Science And Engineering|Mechanical Engineering|Robotics And Artificial Intelligence
E013,Ghousia Engineering College,RAMANAGARA,Engineering,12,4.2,150000,Ghousia Engineering College is listed in the official KEA UGCET 2025 engineering seat matrix.,Artificial Intelligence And Machine Learning|Civil Engineering|Computer Science And Engineering|Computer Science And Engineering (cyber Security)|Electrical & Electronics Engineering|Electronics And Communica Tion Engg|Information Science And Engineering|Robotics And Artificial Intelligence
E014,S J C Institute of Technology,CHICKBALLAPUR (DISTRICT),Engineering,13,4.2,150000,S J C Institute of Technology is listed in the official KEA UGCET 2025 engineering seat matrix.,Aero Space Engineering|Aeronautic Al Engineering|Artificial Intelligence And Data Science|Civil Engineering|Civil Engineering (kannada Medium)|Computer Science And Design|Computer Science And Engg(artifi Cial Intelligence And Machine Learning)|Computer Science And Engineering|Electronics And Communica Tion Engg|Information Science And Engineering|Mechanical Engineering
E015,Dr.T.Thimmaiah Institute of Technology,KOLAR GOLD FIELDS - 563 120,Engineering,14,4.2,150000,Dr.T.Thimmaiah Institute of Technology is listed in the official KEA UGCET 2025 engineering seat matrix.,Computer Science And Engg(artifi Cial Intelligence And Machine Learning)|Computer Science And Engineering|Electrical & Electronics Engineering|Electronics And Communica Tion Engg|Mechanical Engineering|Mining Engineering
E016,Siddaganga Institute of Technology,Tumkur,Engineering,15,4.2,150000,Siddaganga Institute of Technology is listed in the official KEA UGCET 2025 engineering seat matrix.,Bio- Technology|Chemical Engineering|Civil Engineering|Computer Science And Engg(artifi Cial Intelligence And Machine Learning)|Computer Science And Engineering|Electrical & Electronics Engineering|Electronics And Communica Tion Engg|Electronics And Instrument Ation Engineering|Electronics And Telecommu Nication Engineering|Industrial Engineering & Management|Information Science And Engineering|Mechanical Engineering
E017,Sri Siddhartha Institute of Technology MARALUR,TUMKUR,Engineering,16,4.2,150000,Sri Siddhartha Institute of Technology MARALUR is listed in the official KEA UGCET 2025 engineering seat matrix.,Artificial Intelligence And Machine Learning|Bio-medical Engineering|Civil Engineering|Computer Science And Engineering|Computer Science And Engineering (cyber Security)|Computer Science And Engineerin G(data Science)|Electrical & Electronics Engineering|Electronics And Communica Tion Engg|Electronics And Telecommu Nication Engineering|Information Science And Engineering|Mechanical Engineering|Robotics And Artificial Intelligence
E018,Kalpatharu Institute of Technology,TIPTUR,Engineering,17,4.2,150000,Kalpatharu Institute of Technology is listed in the official KEA UGCET 2025 engineering seat matrix.,Artificial Intelligence And Machine Learning|Civil Engineering|Computer Science And Engineering|Electronics And Communica Tion Engg|Information Science And Engineering|Mechanical Engineering
E021,Sri Jayachamarajendra College of Engineering(Constituent College of JSS Science & Technology University),MYSORE,Engineering,18,4.2,150000,Sri Jayachamarajendra College of Engineering(Constituent College of JSS Science & Technology University) is listed in the official KEA UGCET 2025 engineering seat matrix.,Civil Engineering|Computer Science And Engineering|Electrical & Electronics Engineering|Electronics & Instrument Ation Engineering|Electronics And Communica Tion Engg|Environme Ntal Engineering|Industrial & Production Engineering|Mechanical Engineering|Polymer Science & Technology
E022,The National Institute of Engineering(SOUTH,MYSORE,Engineering,19,4.2,150000,The National Institute of Engineering(SOUTH is listed in the official KEA UGCET 2025 engineering seat matrix.,Civil Engineering|Electronics And Communica Tion Engg|Mechanical Engineering|Electrical & Electronics Engineering
E023,P E S College of Engineering,Mandya(AUTONOMOUS) MANDYA: 571 401,Engineering,20,4.2,150000,P E S College of Engineering is listed in the official KEA UGCET 2025 engineering seat matrix.,Civil Engineering|Electrical & Electronics Engineering|Electronics And Communica Tion Engg|Mechanical Engineering|Computer Science And Business Systems|Computer Science And Engg(artifi Cial Intelligence And Machine Learning)|Computer Science And Engineering|Computer Science And Engineerin G(data Science)|Electronics And Communica Tion Engg (vlsi Design And Technolog Y)|Information Science And Engineering|Robotics And Artificial Intelligence
E024,Malnad College of Engineering,HASSSAN,Engineering,21,4.2,150000,Malnad College of Engineering is listed in the official KEA UGCET 2025 engineering seat matrix.,Civil Engineering|Electrical & Electronics Engineering|Electronics And Communica Tion Engg|Mechanical Engineering|Computer Science And Business Systems|Computer Science And Engg(artifi Cial Intelligence And Machine Learning)|Computer Science And Engineering|Electronics Engineerin G(vlsi Design & Technolog Y)|Robotics And Artificial Intelligence
