name,location,type,rank,rating,feesPerYear,description,website,phone,email,established,courses
Mysuru Medical College 1,Mysuru,Medical,382,3.8,179781,"Medical college in Mysuru, Karnataka",https://mysurumedicalcollege1.edu.in,,info@mysurumedicalcollege1.edu.in,2012,MBBS|MD|MS|BDS
Davangere Degree College 2,Davangere,Degree,48,3.7,1212940,"Degree college in Davangere, Karnataka",https://davangeredegreecollege2.edu.in,,info@davangeredegreecollege2.edu.in,2013,BA|BSc|BCom|BBA|BCA
Ballari Medical College 3,Ballari,Medical,305,4.7,1134533,"Medical college in Ballari, Karnataka",https://ballarimedicalcollege3.edu.in,,info@ballarimedicalcollege3.edu.in,1953,MBBS|MD|MS|BDS
Udupi Medical College 4,Udupi,Medical,118,3.8,281170,"Medical college in Udupi, Karnataka",https://udupimedicalcollege4.edu.in,,info@udupimedicalcollege4.edu.in,1962,MBBS|MD|MS|BDS
Bengaluru Rural Engineering College 5,Bengaluru Rural,Engineering,57,4.3,441464,"Engineering college in Bengaluru Rural, Karnataka",https://bengalurururalengineeringcollege5.edu.in,,info@bengalurururalengineeringcollege5.edu.in,1980,CSE|ECE|ME|Civil|AI|DS
Chikkamagaluru Medical College 6,Chikkamagaluru,Medical,304,4.6,412408,"Medical college in Chikkamagaluru, Karnataka",https://chikkamagalurumedicalcollege6.edu.in,,info@chikkamagalurumedicalcollege6.edu.in,1998,MBBS|MD|MS|BDS
Udupi Engineering College 7,Udupi,Engineering,319,4.0,478817,"Engineering college in Udupi, Karnataka",https://udupiengineeringcollege7.edu.in,,info@udupiengineeringcollege7.edu.in,1978,CSE|ECE|ME|Civil|AI|DS
Mysuru Medical College 8,Mysuru,Medical,248,4.4,1467631,"Medical college in Mysuru, Karnataka",https://mysurumedicalcollege8.edu.in,,info@mysurumedicalcollege8.edu.in,1991,MBBS|MD|MS|BDS
Dharwad Medical College 9,Dharwad,Medical,192,3.5,1155126,"Medical college in Dharwad, Karnataka",https://dharwadmedicalcollege9.edu.in,,info@dharwadmedicalcollege9.edu.in,1995,MBBS|MD|MS|BDS
Mandya Degree College 10,Mandya,Degree,175,4.6,1142070,"Degree college in Mandya, Karnataka",https://mandyadegreecollege10.edu.in,,info@mandyadegreecollege10.edu.in,1996,BA|BSc|BCom|BBA|BCA
Mysuru PU College 11,Mysuru,PU,337,4.4,266576,"PU college in Mysuru, Karnataka",https://mysurupucollege11.edu.in,,info@mysurupucollege11.edu.in,1998,PUC Science|Commerce|Arts
Koppal PU College 12,Koppal,PU,500,4.6,585032,"PU college in Koppal, Karnataka",https://koppalpucollege12.edu.in,,info@koppalpucollege12.edu.in,1961,PUC Science|Commerce|Arts
Bengaluru Urban Engineering College 13,Bengaluru Urban,Engineering,402,4.5,1023530,"Engineering college in Bengaluru Urban, Karnataka",https://bengaluruurbanengineeringcollege13.edu.in,,info@bengaluruurbanengineeringcollege13.edu.in,2021,CSE|ECE|ME|Civil|AI|DS
Ballari Engineering College 14,Ballari,Engineering,232,3.9,556644,"Engineering college in Ballari, Karnataka",https://ballariengineeringcollege14.edu.in,,info@ballariengineeringcollege14.edu.in,1973,CSE|ECE|ME|Civil|AI|DS
Bengaluru Rural Medical College 15,Bengaluru Rural,Medical,360,3.6,222642,"Medical college in Bengaluru Rural, Karnataka",https://bengalurururalmedicalcollege15.edu.in,,info@bengalurururalmedicalcollege15.edu.in,2007,MBBS|MD|MS|BDS
Ballari PU College 16,Ballari,PU,36,3.5,1420802,"PU college in Ballari, Karnataka",https://ballaripucollege16.edu.in,,info@ballaripucollege16.edu.in,1995,PUC Science|Commerce|Arts
Dakshina Kannada Engineering College 17,Dakshina Kannada,Engineering,475,4.7,655997,"Engineering college in Dakshina Kannada, Karnataka",https://dakshinakannadaengineeringcollege17.edu.in,,info@dakshinakannadaengineeringcollege17.edu.in,2001,CSE|ECE|ME|Civil|AI|DS
Kalaburagi Medical College 18,Kalaburagi,Medical,46,4.2,1159911,"Medical college in Kalaburagi, Karnataka",https://kalaburagimedicalcollege18.edu.in,,info@kalaburagimedicalcollege18.edu.in,1998,MBBS|MD|MS|BDS
Udupi Medical College 19,Udupi,Medical,155,4.1,483682,"Medical college in Udupi, Karnataka",https://udupimedicalcollege19.edu.in,,info@udupimedicalcollege19.edu.in,1999,MBBS|MD|MS|BDS
Raichur Medical College 20,Raichur,Medical,82,4.3,1416683,"Medical college in Raichur, Karnataka",https://raichurmedicalcollege20.edu.in,,info@raichurmedicalcollege20.edu.in,1962,MBBS|MD|MS|BDS
Dakshina Kannada PU College 21,Dakshina Kannada,PU,471,4.7,709776,"PU college in Dakshina Kannada, Karnataka",https://dakshinakannadapucollege21.edu.in,,info@dakshinakannadapucollege21.edu.in,1972,PUC Science|Commerce|Arts
Kalaburagi Degree College 22,Kalaburagi,Degree,316,3.7,717838,"Degree college in Kalaburagi, Karnataka",https://kalaburagidegreecollege22.edu.in,,info@kalaburagidegreecollege22.edu.in,1961,BA|BSc|BCom|BBA|BCA
Kalaburagi Degree College 23,Kalaburagi,Degree,112,4.9,1365157,"Degree college in Kalaburagi, Karnataka",https://kalaburagidegreecollege23.edu.in,,info@kalaburagidegreecollege23.edu.in,1952,BA|BSc|BCom|BBA|BCA
Bengaluru Urban Medical College 24,Bengaluru Urban,Medical,101,3.8,503667,"Medical college in Bengaluru Urban, Karnataka",https://bengaluruurbanmedicalcollege24.edu.in,,info@bengaluruurbanmedicalcollege24.edu.in,2004,MBBS|MD|MS|BDS
Chikkamagaluru Degree College 25,Chikkamagaluru,Degree,223,4.5,1042665,"Degree college in Chikkamagaluru, Karnataka",https://chikkamagalurudegreecollege25.edu.in,,info@chikkamagalurudegreecollege25.edu.in,1984,BA|BSc|BCom|BBA|BCA
Davangere Engineering College 26,Davangere,Engineering,69,4.2,1115446,"Engineering college in Davangere, Karnataka",https://davangereengineeringcollege26.edu.in,,info@davangereengineeringcollege26.edu.in,2021,CSE|ECE|ME|Civil|AI|DS
Hassan Engineering College 27,Hassan,Engineering,54,3.9,758875,"Engineering college in Hassan, Karnataka",https://hassanengineeringcollege27.edu.in,,info@hassanengineeringcollege27.edu.in,1993,CSE|ECE|ME|Civil|AI|DS
Dakshina Kannada Degree College 28,Dakshina Kannada,Degree,229,4.6,1379354,"Degree college in Dakshina Kannada, Karnataka",https://dakshinakannadadegreecollege28.edu.in,,info@dakshinakannadadegreecollege28.edu.in,1961,BA|BSc|BCom|BBA|BCA
Bidar PU College 29,Bidar,PU,443,3.8,254206,"PU college in Bidar, Karnataka",https://bidarpucollege29.edu.in,,info@bidarpucollege29.edu.in,1977,PUC Science|Commerce|Arts
Davangere Degree College 30,Davangere,Degree,112,3.8,1019118,"Degree college in Davangere, Karnataka",https://davangeredegreecollege30.edu.in,,info@davangeredegreecollege30.edu.in,1979,BA|BSc|BCom|BBA|BCA
Kalaburagi Degree College 31,Kalaburagi,Degree,429,4.0,682535,"Degree college in Kalaburagi, Karnataka",https://kalaburagidegreecollege31.edu.in,,info@kalaburagidegreecollege31.edu.in,2014,BA|BSc|BCom|BBA|BCA
Bengaluru Urban Medical College 32,Bengaluru Urban,Medical,436,3.6,108952,"Medical college in Bengaluru Urban, Karnataka",https://bengaluruurbanmedicalcollege32.edu.in,,info@bengaluruurbanmedicalcollege32.edu.in,1991,MBBS|MD|MS|BDS
Chikkamagaluru Medical College 33,Chikkamagaluru,Medical,276,4.6,1058447,"Medical college in Chikkamagaluru, Karnataka",https://chikkamagalurumedicalcollege33.edu.in,,info@chikkamagalurumedicalcollege33.edu.in,1989,MBBS|MD|MS|BDS
Mandya Medical College 34,Mandya,Medical,4,3.6,1071769,"Medical college in Mandya, Karnataka",https://mandyamedicalcollege34.edu.in,,info@mandyamedicalcollege34.edu.in,1954,MBBS|MD|MS|BDS
Mandya Medical College 35,Mandya,Medical,351,3.9,1401879,"Medical college in Mandya, Karnataka",https://mandyamedicalcollege35.edu.in,,info@mandyamedicalcollege35.edu.in,1952,MBBS|MD|MS|BDS
Dakshina Kannada PU College 36,Dakshina Kannada,PU,180,3.6,520000,"PU college in Dakshina Kannada, Karnataka",https://dakshinakannadapucollege36.edu.in,,info@dakshinakannadapucollege36.edu.in,1951,PUC Science|Commerce|Arts
Hassan PU College 37,Hassan,PU,13,3.6,754029,"PU college in Hassan, Karnataka",https://hassanpucollege37.edu.in,,info@hassanpucollege37.edu.in,2019,PUC Science|Commerce|Arts
Davangere PU College 38,Davangere,PU,49,3.9,781176,"PU college in Davangere, Karnataka",https://davangerepucollege38.edu.in,,info@davangerepucollege38.edu.in,1973,PUC Science|Commerce|Arts
Chitradurga PU College 39,Chitradurga,PU,336,4.0,901421,"PU college in Chitradurga, Karnataka",https://chitradurgapucollege39.edu.in,,info@chitradurgapucollege39.edu.in,2004,PUC Science|Commerce|Arts
Ballari PU College 40,Ballari,PU,203,4.3,1124044,"PU college in Ballari, Karnataka",https://ballaripucollege40.edu.in,,info@ballaripucollege40.edu.in,1995,PUC Science|Commerce|Arts
Shivamogga Engineering College 41,Shivamogga,Engineering,368,3.9,920693,"Engineering college in Shivamogga, Karnataka",https://shivamoggaengineeringcollege41.edu.in,,info@shivamoggaengineeringcollege41.edu.in,1957,CSE|ECE|ME|Civil|AI|DS
Hassan PU College 42,Hassan,PU,88,3.9,674547,"PU college in Hassan, Karnataka",https://hassanpucollege42.edu.in,,info@hassanpucollege42.edu.in,1950,PUC Science|Commerce|Arts
Bengaluru Rural PU College 43,Bengaluru Rural,PU,103,4.7,216644,"PU college in Bengaluru Rural, Karnataka",https://bengalurururalpucollege43.edu.in,,info@bengalurururalpucollege43.edu.in,2022,PUC Science|Commerce|Arts
Shivamogga Medical College 44,Shivamogga,Medical,437,4.8,1460460,"Medical college in Shivamogga, Karnataka",https://shivamoggamedicalcollege44.edu.in,,info@shivamoggamedicalcollege44.edu.in,2010,MBBS|MD|MS|BDS
Shivamogga Degree College 45,Shivamogga,Degree,222,4.6,1247282,"Degree college in Shivamogga, Karnataka",https://shivamoggadegreecollege45.edu.in,,info@shivamoggadegreecollege45.edu.in,2018,BA|BSc|BCom|BBA|BCA
Koppal Degree College 46,Koppal,Degree,391,3.8,365183,"Degree college in Koppal, Karnataka",https://koppaldegreecollege46.edu.in,,info@koppaldegreecollege46.edu.in,2020,BA|BSc|BCom|BBA|BCA
Raichur Degree College 47,Raichur,Degree,47,3.7,1120068,"Degree college in Raichur, Karnataka",https://raichurdegreecollege47.edu.in,,info@raichurdegreecollege47.edu.in,1975,BA|BSc|BCom|BBA|BCA
Hassan Engineering College 48,Hassan,Engineering,94,4.1,1455270,"Engineering college in Hassan, Karnataka",https://hassanengineeringcollege48.edu.in,,info@hassanengineeringcollege48.edu.in,1996,CSE|ECE|ME|Civil|AI|DS
Hassan Degree College 49,Hassan,Degree,123,4.5,586775,"Degree college in Hassan, Karnataka",https://hassandegreecollege49.edu.in,,info@hassandegreecollege49.edu.in,1967,BA|BSc|BCom|BBA|BCA
Dharwad Degree College 50,Dharwad,Degree,282,4.3,1371372,"Degree college in Dharwad, Karnataka",https://dharwaddegreecollege50.edu.in,,info@dharwaddegreecollege50.edu.in,1977,BA|BSc|BCom|BBA|BCA
Belagavi PU College 51,Belagavi,PU,95,3.9,658144,"PU college in Belagavi, Karnataka",https://belagavipucollege51.edu.in,,info@belagavipucollege51.edu.in,1969,PUC Science|Commerce|Arts
Chitradurga PU College 52,Chitradurga,PU,141,4.1,681992,"PU college in Chitradurga, Karnataka",https://chitradurgapucollege52.edu.in,,info@chitradurgapucollege52.edu.in,2001,PUC Science|Commerce|Arts
Dakshina Kannada Engineering College 53,Dakshina Kannada,Engineering,398,3.9,1328605,"Engineering college in Dakshina Kannada, Karnataka",https://dakshinakannadaengineeringcollege53.edu.in,,info@dakshinakannadaengineeringcollege53.edu.in,2017,CSE|ECE|ME|Civil|AI|DS
Mandya Degree College 54,Mandya,Degree,394,4.8,156819,"Degree college in Mandya, Karnataka",https://mandyadegreecollege54.edu.in,,info@mandyadegreecollege54.edu.in,1955,BA|BSc|BCom|BBA|BCA
Bengaluru Urban Engineering College 55,Bengaluru Urban,Engineering,29,3.6,429070,"Engineering college in Bengaluru Urban, Karnataka",https://bengaluruurbanengineeringcollege55.edu.in,,info@bengaluruurbanengineeringcollege55.edu.in,1961,CSE|ECE|ME|Civil|AI|DS
Udupi Degree College 56,Udupi,Degree,342,4.4,1238773,"Degree college in Udupi, Karnataka",https://udupidegreecollege56.edu.in,,info@udupidegreecollege56.edu.in,1984,BA|BSc|BCom|BBA|BCA
Bidar Engineering College 57,Bidar,Engineering,232,3.8,1332267,"Engineering college in Bidar, Karnataka",https://bidarengineeringcollege57.edu.in,,info@bidarengineeringcollege57.edu.in,2006,CSE|ECE|ME|Civil|AI|DS
Davangere Medical College 58,Davangere,Medical,88,4.7,1261353,"Medical college in Davangere, Karnataka",https://davangeremedicalcollege58.edu.in,,info@davangeremedicalcollege58.edu.in,2002,MBBS|MD|MS|BDS
Koppal Engineering College 59,Koppal,Engineering,278,4.3,1219990,"Engineering college in Koppal, Karnataka",https://koppalengineeringcollege59.edu.in,,info@koppalengineeringcollege59.edu.in,2009,CSE|ECE|ME|Civil|AI|DS
Chitradurga Medical College 60,Chitradurga,Medical,279,3.6,182383,"Medical college in Chitradurga, Karnataka",https://chitradurgamedicalcollege60.edu.in,,info@chitradurgamedicalcollege60.edu.in,1958,MBBS|MD|MS|BDS
Raichur Engineering College 61,Raichur,Engineering,217,3.5,840408,"Engineering college in Raichur, Karnataka",https://raichurengineeringcollege61.edu.in,,info@raichurengineeringcollege61.edu.in,1988,CSE|ECE|ME|Civil|AI|DS
Bengaluru Urban Engineering College 62,Bengaluru Urban,Engineering,258,4.1,166612,"Engineering college in Bengaluru Urban, Karnataka",https://bengaluruurbanengineeringcollege62.edu.in,,info@bengaluruurbanengineeringcollege62.edu.in,1962,CSE|ECE|ME|Civil|AI|DS
Hassan Degree College 63,Hassan,Degree,498,3.9,427634,"Degree college in Hassan, Karnataka",https://hassandegreecollege63.edu.in,,info@hassandegreecollege63.edu.in,1964,BA|BSc|BCom|BBA|BCA
Bengaluru Urban Medical College 64,Bengaluru Urban,Medical,464,4.9,758494,"Medical college in Bengaluru Urban, Karnataka",https://bengaluruurbanmedicalcollege64.edu.in,,info@bengaluruurbanmedicalcollege64.edu.in,1972,MBBS|MD|MS|BDS
Dharwad Medical College 65,Dharwad,Medical,144,4.0,318351,"Medical college in Dharwad, Karnataka",https://dharwadmedicalcollege65.edu.in,,info@dharwadmedicalcollege65.edu.in,1973,MBBS|MD|MS|BDS
Dharwad PU College 66,Dharwad,PU,376,4.0,1143958,"PU college in Dharwad, Karnataka",https://dharwadpucollege66.edu.in,,info@dharwadpucollege66.edu.in,2003,PUC Science|Commerce|Arts
Ballari Medical College 67,Ballari,Medical,92,4.4,1064867,"Medical college in Ballari, Karnataka",https://ballarimedicalcollege67.edu.in,,info@ballarimedicalcollege67.edu.in,2000,MBBS|MD|MS|BDS
Belagavi Degree College 68,Belagavi,Degree,346,3.5,1216166,"Degree college in Belagavi, Karnataka",https://belagavidegreecollege68.edu.in,,info@belagavidegreecollege68.edu.in,1975,BA|BSc|BCom|BBA|BCA
Chikkamagaluru Engineering College 69,Chikkamagaluru,Engineering,348,4.6,647773,"Engineering college in Chikkamagaluru, Karnataka",https://chikkamagaluruengineeringcollege69.edu.in,,info@chikkamagaluruengineeringcollege69.edu.in,1950,CSE|ECE|ME|Civil|AI|DS
Hassan PU College 70,Hassan,PU,59,4.8,1286505,"PU college in Hassan, Karnataka",https://hassanpucollege70.edu.in,,info@hassanpucollege70.edu.in,2006,PUC Science|Commerce|Arts
Dakshina Kannada PU College 71,Dakshina Kannada,PU,406,4.1,822935,"PU college in Dakshina Kannada, Karnataka",https://dakshinakannadapucollege71.edu.in,,info@dakshinakannadapucollege71.edu.in,1996,PUC Science|Commerce|Arts
Chitradurga Degree College 72,Chitradurga,Degree,95,3.6,730728,"Degree college in Chitradurga, Karnataka",https://chitradurgadegreecollege72.edu.in,,info@chitradurgadegreecollege72.edu.in,1951,BA|BSc|BCom|BBA|BCA
Hassan Degree College 73,Hassan,Degree,463,3.6,1333808,"Degree college in Hassan, Karnataka",https://hassandegreecollege73.edu.in,,info@hassandegreecollege73.edu.in,1979,BA|BSc|BCom|BBA|BCA
Dharwad PU College 74,Dharwad,PU,480,3.6,1365521,"PU college in Dharwad, Karnataka",https://dharwadpucollege74.edu.in,,info@dharwadpucollege74.edu.in,1996,PUC Science|Commerce|Arts
Bengaluru Rural Engineering College 75,Bengaluru Rural,Engineering,117,4.1,1102481,"Engineering college in Bengaluru Rural, Karnataka",https://bengalurururalengineeringcollege75.edu.in,,info@bengalurururalengineeringcollege75.edu.in,2020,CSE|ECE|ME|Civil|AI|DS
Chitradurga Medical College 76,Chitradurga,Medical,144,4.6,847189,"Medical college in Chitradurga, Karnataka",https://chitradurgamedicalcollege76.edu.in,,info@chitradurgamedicalcollege76.edu.in,1993,MBBS|MD|MS|BDS
Mandya Degree College 77,Mandya,Degree,198,3.5,1272538,"Degree college in Mandya, Karnataka",https://mandyadegreecollege77.edu.in,,info@mandyadegreecollege77.edu.in,1959,BA|BSc|BCom|BBA|BCA
Chitradurga PU College 78,Chitradurga,PU,247,4.9,294410,"PU college in Chitradurga, Karnataka",https://chitradurgapucollege78.edu.in,,info@chitradurgapucollege78.edu.in,1984,PUC Science|Commerce|Arts
Mysuru Medical College 79,Mysuru,Medical,197,4.0,364924,"Medical college in Mysuru, Karnataka",https://mysurumedicalcollege79.edu.in,,info@mysurumedicalcollege79.edu.in,1983,MBBS|MD|MS|BDS
